,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
992,61297C1AA174751D48889E036AFC745B,283D10F53702D64674883CEABDDA8EDC,VTS,1,,12/04/2013 23:21,12/04/2013 23:35,6,840,2.62,-73.987572,40.719696,-73.982483,40.748421
993,435652BBDDEB59A90426C676BD850355,E0B4D09DA9339AF14644534C1F1F2615,VTS,1,,12/04/2013 23:18,12/04/2013 23:31,6,780,2.26,-73.980377,40.763893,-73.986465,40.739536
994,DBE23F76B0CFB37852DED82681BC2766,1C6B7B0658BF3BC9635EF8AEA37655D2,VTS,1,,12/04/2013 23:27,12/04/2013 23:33,1,360,0.94,-73.979935,40.775845,-73.975754,40.786613
995,93F16BB6AF88E3AB8B949BC891D50DA7,9011882EC30D4E8A72744E1429AADAF1,VTS,1,,12/04/2013 23:24,12/04/2013 23:30,2,360,1.15,-73.993507,40.731197,-73.981575,40.740967
996,491828853E3F1FC36DAAE14C6EC0F50C,7192A0B01C714B2B9CF4891CF862428B,VTS,1,,12/04/2013 23:17,12/04/2013 23:30,1,780,3.05,-73.98764,40.76038,-73.962509,40.79821
997,1D426A1D4A9DFFACBEB26889355C567F,1E12EC17FA231FA87ACE04F6EE25D446,VTS,1,,12/04/2013 23:16,12/04/2013 23:31,1,900,3.99,-73.959465,40.720306,-73.989853,40.735168
998,A48E6C5EFF438FEA00332AF94FEDF36A,B110D1BE2F5912F454C9AD52619FB9DA,VTS,1,,12/04/2013 23:22,12/04/2013 23:37,1,900,4.02,-73.952698,40.780289,-73.987595,40.732677
999,8B63D63DB0E9278E2177E197ED268451,55FD0651D1CB70BB77D9EEFEE3D1F135,VTS,1,,12/04/2013 23:11,12/04/2013 23:32,5,1260,3.3,-73.977562,40.75,-73.988045,40.719955
1000,C82B849E34A57B83657B3E20DAFB2C74,8713822CE1581026E2A39CBE115407BA,VTS,1,,12/04/2013 23:28,12/04/2013 23:33,6,300,0.35,-73.986732,40.735596,-73.977097,40.733791
1001,70D38E0993ECD362F3F771F30D7825F8,51FF38DE020846B46FAADF6FCC1878D9,VTS,1,,12/04/2013 23:09,12/04/2013 23:34,3,1500,6.3,-73.949814,40.784435,-74.008148,40.737751
1002,D329877ED222CD9FB1D6741B52EFA6E4,D3C77351DB8BD8A87EAEBB3D0954DCED,VTS,1,,12/04/2013 23:28,12/04/2013 23:33,6,300,0.62,-73.982986,40.760857,-73.973007,40.755589
1003,63A550E9F85C10897336D5475B450BDD,C0017EFFACE6B532FDF76A2A1CD02272,VTS,1,,12/04/2013 23:33,12/04/2013 23:37,1,240,0.72,-73.96138,40.774532,-73.95153,40.774284
